Topic Cluster,Topic Cluster Number,Scholarly Output,Publication share (%),Publication Share growth (%),Field-Weighted Citation Impact,Prominence percentile
Planetary Atmosphere; Wind Erosion; Earth Surface Sediment Transport,TC.1164,2.0,0.02,,0.68,36.56
Architectural Acoustics; Spatial Audio; Audio Signal Processing,TC.1198,2.0,0.03,,0.0,12.95
Soil Nematodes; Plant Diseases; Biological Control,TC.1266,2.0,0.03,,0.51,24.918
Cosmopolitanism; Civil Society; Democracy,TC.1428,2.0,0.05,,0.0,8.241
Immigrant; Borderland; World War II,TC.1462,2.0,0.05,,0.76,3.663
Islam; Architecture; Russia,TC.1487,2.0,0.03,,0.0,3.793
Integrated Circuit Design; Electronic Circuit; Approximate Computing,TC.143,2.0,0.01,,0.0,33.551
Mammalian Target of Rapamycin; Oncogene Protein; Cell Proliferation,TC.155,2.0,0.01,,0.68,85.154
Antibiotic Prophylaxis; Randomized Controlled Trial; Suture Material,TC.610,2.0,0.01,,0.0,39.83
Transgender; Lesbian; LGBTQIA+,TC.801,2.0,0.01,,2.11,78.744
Uranium; Seawater; Scanning Electron Microscopy,TC.1206,2.0,0.03,,5.57,55.919
Enzyme; Hydroxylation; Monooxygenase,TC.1217,2.0,0.03,,0.0,27.534
Esthetics; Philosophy; Latin,TC.1248,2.0,0.02,,0.24,5.232
Cytomegalovirus Infection; Community-Acquired Pneumonia; Transplant Procedure,TC.649,2.0,0.02,,0.22,40.092
Microelectromechanical System; Electrostatics; Finite Element Method,TC.723,2.0,0.03,-100.0,0.23,20.733
Pig; Drug Hypersensitivity; Desensitization,TC.767,2.0,0.02,,0.84,31.982
Finite Element Method; Homogenization; Crack Propagation,TC.811,2.0,0.03,-100.0,0.18,37.868
Modular Multilevel Converter; Power Converter; Circuit Breaker,TC.977,2.0,0.01,,0.32,50.556
Parallel Programming; Memory Architecture; Supercomputer,TC.1035,2.0,0.03,-100.0,0.28,11.903
Colonialism; Philosophy; Diaspora,TC.1244,2.0,0.02,,0.0,10.072
Drug Screening; Cell Proliferation; Structure Activity Relationship,TC.1336,2.0,0.06,609.0,0.18,18.051
Prion; Protein Aggregation; Hippocampus,TC.126,1.0,0.01,,0.0,79.856
Human Immunodeficiency Virus Infection; T-Helper Cell; Cohort Study,TC.161,1.0,0.01,,0.85,58.993
Computed Tomography; Bile; Neonatal Infant,TC.502,1.0,0.01,,0.08,37.083
Kalman Filtering; Gaussian Distribution; Information Theory,TC.530,1.0,0.01,,0.0,35.383
Tissue Engineering; Neonatal Infant; Trachea,TC.581,1.0,0.01,,0.0,41.465
Organic Field Effect Transistors; Scanning Tunneling Microscopy; Thin-Film Transistor,TC.624,1.0,0.01,,0.0,57.75
Monte Carlo Simulation; Small-Angle X-Ray Scattering; Neutron Irradiation,TC.677,1.0,0.01,,0.0,25.965
Dynamical System; Manifold; Number,TC.700,1.0,0.01,,1.14,11.772
Pemphigus; Dermatology; Bullous Disease,TC.703,1.0,0.01,,0.85,29.235
Photoreceptor; Retinal Degeneration; Ophthalmology,TC.754,1.0,0.01,,0.85,50.883
Aluminum; Yttrium; Garnet,TC.931,1.0,0.02,,0.65,13.669
Genotoxicity; DNA; Dose-Response Relationship,TC.991,1.0,0.02,,0.0,21.452
Ecosystem Toxicology; Salmo salar; Eutrophication,TC.1039,1.0,0.01,,0.63,20.863
Mental Health; Mother-Child Relation; Attachment Style,TC.1046,1.0,0.01,,4.01,35.84
Cobalt; X-Ray Diffraction; Magnetic Property,TC.1135,1.0,0.01,,0.84,53.434
Evidence-Based Medicine; Health Care; Research Design,TC.1235,1.0,0.01,,0.0,26.684
Democracy; Civil Society; Justice,TC.1349,1.0,0.01,,1.78,12.099
Mental Health; Cultural Competence; School Psychology,TC.1360,1.0,0.02,,0.0,10.595
Eutrophication; Vegetation; Cyprinid,TC.1407,1.0,0.02,,0.19,23.152
Immigrant; Religion; Judaism,TC.1424,1.0,0.02,,0.0,6.671
Archeology; Levant; Jerusalem,TC.1488,1.0,0.02,-100.0,0.0,3.401
DNA; Gold Nanoparticle; RNA,TC.359,1.0,0.0,,0.0,92.61
GTP Binding Protein; Kinesin; Neurotransmission,TC.374,1.0,0.01,,0.0,58.404
Genetics; Sexual Selection; Behavior (Neuroscience),TC.553,1.0,0.01,,0.35,42.577
Skeletal Muscle; Animal Disease Model; Satellite Cell,TC.685,1.0,0.01,,0.1,56.965
Sex Trafficking; Educational Policy; Territory,TC.748,1.0,0.01,,0.17,19.621
Homeodomain Protein; Behavior (Neuroscience); RNA Interference,TC.855,1.0,0.01,,0.58,31.393
Behavior (Neuroscience); Hippocampus; Dose-Response Relationship,TC.911,1.0,0.02,,0.51,27.469
Cardiac Troponin; Natriuretic Peptide; Emergency Department,TC.962,1.0,0.01,,0.17,28.646
Methane; Carbon Dioxide; Nucleation,TC.966,1.0,0.01,,0.0,26.095
Weak Solution; Finite Element Method; Asymptotic Behavior,TC.1077,1.0,0.01,,0.0,19.49
Papua New Guinea; Anthropology; Colonialism,TC.1228,1.0,0.01,,0.52,15.043
Physics; Special Relativity; Clifford Algebra,TC.1282,1.0,0.02,,0.0,6.017
Arbitration; Justice; Finance,TC.1347,1.0,0.01,,0.0,9.156
Molecular Dynamics; Rheology; Shear Flow,TC.1389,1.0,0.03,,0.37,12.165
Arbitration; Investors; International Investment,TC.1403,1.0,0.01,-100.0,0.69,7.39
Discrimination; Psychiatry; Immigrant,TC.1414,1.0,0.02,,0.2,8.895
Philosophy; Christianity; Judaism,TC.1418,1.0,0.02,,3.72,1.766
Welfare; Mental Health; Qualitative Research,TC.1435,1.0,0.02,,0.0,10.137
Hippocampus; Neurotransmission; Neuronal Plasticity,TC.269,1.0,0.01,-100.0,0.11,68.542
Image Coding; Quantization (Signal Processing); Vector Quantization,TC.307,1.0,0.02,-100.0,0.0,13.734
Atrial Fibrillation Ablation; Human Study; Equipment Design,TC.508,1.0,0.01,,0.87,46.632
Computational Fluid Dynamics; Turbomachinery; Axial Flow,TC.657,1.0,0.01,,0.09,34.271
Religion; Justice; Democracy,TC.794,1.0,0.01,,0.0,16.743
Finite Element Method; Boundary Value Problems; Linear System,TC.922,1.0,0.01,-100.0,1.21,13.8
Predictive Control Model; Control System; Quadratic Programming,TC.1003,1.0,0.01,,0.11,30.87
Soil Fauna; Ecosystem Toxicology; Animal Morphology,TC.1222,1.0,0.02,,0.0,27.207
American Indian; Native American Studies; Colonialism,TC.1313,1.0,0.01,,0.0,17.332
Renaissance; Medicine; Philosophy,TC.1348,1.0,0.02,,0.52,2.485
X-Ray Photoelectron Spectroscopy; Positron Annihilation Spectroscopy; X-Ray Absorption near Edge Structure,TC.1350,1.0,0.04,,0.0,10.53
Health Service; Aboriginal and Torres Strait Islander; Alcohol Abuse,TC.1429,1.0,0.02,,0.0,24.199
Biological Control; Bug; Host-Parasitoid Interaction,TC.1498,1.0,0.04,,0.0,7.652
Tau; Neurodegenerative Disorder; Animal Disease Model,TC.264,1.0,0.0,,0.0,89.666
Optical Network; Quality of Service; Wavelength-Division Multiplexing,TC.690,1.0,0.02,,0.0,12.426
Interleukin; Enzyme; Animal Disease Model,TC.995,1.0,0.02,,0.0,29.693
Canine; Felid; Buffalo,TC.1006,1.0,0.01,,0.46,18.901
Artificial Intelligence; Answer Set Programming; Theory of Computation,TC.1029,1.0,0.02,,2.03,8.371
Decorin; Cell Proliferation; Enzyme,TC.1123,1.0,0.02,,0.0,31.066
Creep; Nickel-Based Superalloys; Scanning Electron Microscopy,TC.1136,1.0,0.01,,0.0,35.906
Strain Rate; Shear Band; Aluminum,TC.1272,1.0,0.02,,0.0,15.239
Esthetics; Social Media; London,TC.1395,1.0,0.01,,0.0,6.998
Teleost; Cyprinid; Oncorhynchus mykiss,TC.1419,1.0,0.03,,0.0,10.334
Educational Policy; Academic Performance; Finance,TC.1445,1.0,0.02,,0.0,15.173
Islam; Colonialism; Archeology,TC.1500,1.0,0.03,-100.0,1.81,2.551
Democracy; Party Politics; Electoral Geography,TC.249,1.0,0.0,,0.0,53.761
Polymerization; Block Copolymer; Transmission Electron Microscopy,TC.586,1.0,0.01,,0.0,58.535
Hepatocyte; Hepatic Stellate Cell; Cell Proliferation,TC.797,1.0,0.01,,0.44,50.687
Nicotinic Receptor; Hippocampus; Dose-Response Relationship,TC.818,1.0,0.02,,0.62,31.655
Russia; Territory; Russian Revolution,TC.969,1.0,0.01,,0.0,11.707
Europium; DNA; Fluorescence Spectroscopy,TC.982,1.0,0.01,-100.0,0.55,55.984
Platelet; Neonatal Infant; Receptor Agonist,TC.1093,1.0,0.01,,0.55,20.144
Topology Optimization; Finite Element Method; Modal Analysis,TC.1146,1.0,0.01,-100.0,0.42,51.21
Maize; Bacterial Protein; Biological Control,TC.1174,1.0,0.02,,1.1,26.292
COVID-19; Justice; Democracy,TC.1181,1.0,0.01,,0.0,10.661
Nuclear Power Plant; Hydraulics; Heat Exchanger,TC.1255,1.0,0.01,,1.71,38.457
Esthetics; London; Modernism,TC.1273,1.0,0.02,,0.0,2.943
Grief; Religion; Social Support,TC.1293,1.0,0.01,,0.0,32.112
Postmodernism; Esthetics; Stylistics,TC.1297,1.0,0.01,-100.0,0.0,3.859
World War I; Hungarian Language; Foreign Policy,TC.1299,1.0,0.01,,0.0,4.251
Complexation; Macrocycle; Chlorine Compound,TC.1391,1.0,0.05,,0.0,6.213
Democracy; Justice; Federalism,TC.1472,1.0,0.02,,0.7,5.559
Visible Spectrum; Atmospheric Turbulence; Adaptive Optics,TC.391,1.0,0.0,,0.0,57.292
Stomach Cancer; Esophagus; Chemotherapy,TC.506,1.0,0.01,-100.0,0.0,60.105
Angioplasty; Critical Illness; Human Study,TC.646,1.0,0.01,,2.54,30.02
Titanium; Strain Rate; Aluminum,TC.750,1.0,0.01,,0.17,49.313
Gene Expression Profiling; Genetics; Expression Analysis,TC.880,1.0,0.01,,0.0,66.514
Dose-Response Relationship; Brainstem; Structure Activity Relationship,TC.884,1.0,0.02,,0.0,22.629
Sociology; Autonomy; Territory,TC.1022,1.0,0.01,,0.0,11.838
Lipid; Animal Disease Model; Human Homeostasis,TC.1109,1.0,0.01,,0.0,53.826
Hippocampus; Electroencephalography in Epilepsy; Kindling,TC.1183,1.0,0.01,,0.29,27.077
Democracy; Marxism; Socialism,TC.1187,1.0,0.01,,0.0,18.378
London; Esthetics; Religion,TC.1334,1.0,0.02,,0.0,2.878
Meiofauna; Fossil Record; Deep Sea,TC.1447,1.0,0.03,,0.05,6.148
Animal Morphology; Biological Control; Forestry,TC.1475,1.0,0.03,,0.21,4.971
Epigenetics; DNA; RNA,TC.220,1.0,0.0,,0.25,96.076
Endothelial Cell; Western Blot; Platelet,TC.300,1.0,0.01,,0.64,63.44
Auras; Quality of Life; Randomized Controlled Trial,TC.468,1.0,0.01,,0.5,64.16
Electric Discharge; Control Flow; Plasma Application,TC.537,1.0,0.01,-100.0,0.76,68.738
Ferromagnetism; Magnetic Property; Manganese,TC.776,1.0,0.01,,0.0,65.075
Supramolecular Chemistry; Complexation; Macrocycle,TC.805,1.0,0.01,-100.0,0.9,69.85
Iron Compound; Spin State; Cobalt,TC.1128,1.0,0.02,,1.0,24.003
Laminitis; Equus; Donkey,TC.1207,1.0,0.02,,0.0,11.249
Thermoluminescence; Phosphor; Activation Energy,TC.1292,1.0,0.02,,2.5,16.285
Discrete Event Simulation; Computer Simulation; Interoperability,TC.1400,1.0,0.05,-100.0,0.31,4.578
Animal Morphology; Brazil; Salinity,TC.1441,1.0,0.03,,0.5,7.194
Archeology; Territory; Brazil,TC.1481,1.0,0.02,,0.36,5.494
Mongolia; Territory; Russia,TC.1502,1.0,0.02,,0.0,8.044
T Cell; Immunoglobulin; Transgenic Mouse,TC.231,1.0,0.01,,0.15,80.968
X-Ray Free Electron Laser; Optics; Electron Cyclotron Resonance,TC.291,1.0,0.01,,0.36,22.237
Hysteroscopy; Neonatal Infant; Computed Tomography,TC.342,1.0,0.01,,0.0,29.496
Colorectal Cancer; DNA; Tumor Suppressor Protein,TC.712,1.0,0.01,,0.14,40.942
Testes; Neonatal Infant; Pediatrics,TC.745,1.0,0.01,,0.0,23.479
Tungsten; Atomic Emission Spectroscopy; Aluminum,TC.791,1.0,0.01,,0.0,45.52
Squamous Cell Carcinoma; Cell Proliferation; Human Study,TC.822,1.0,0.01,,0.25,32.57
Fluidized Bed; Fluidization; Computational Fluid Dynamics,TC.946,1.0,0.01,-100.0,0.34,44.343
Matrix-Assisted Laser Desorption-Ionization; Desorption; Imaging Mass Spectrometry,TC.960,1.0,0.01,,1.92,56.377
Hydrodynamics; RNA; Material Point Method,TC.981,1.0,0.01,,0.0,56.115
Image Sensor; Metal-Oxide-Semiconductor Field-Effect Transistor; Silicon,TC.999,1.0,0.02,-100.0,0.0,12.819
Geochemistry; Mineralogy; Zircon,TC.1040,1.0,0.01,-100.0,1.48,51.341
Skeletal Muscle; Animal Disease Model; Oncogene Protein,TC.1288,1.0,0.02,-100.0,0.43,25.114
Pig; Skeletal Muscle; Amino Acids,TC.1321,1.0,0.01,,1.14,40.746
Sheep; Pig; Goat,TC.1340,1.0,0.02,,0.0,11.118
Biological Control; Animal Morphology; Wireworm,TC.1415,1.0,0.02,,0.0,14.192
Painting; Renaissance; Anatomy,TC.1473,1.0,0.03,,0.95,1.243
Placenta; Neonatal Infant; DNA,TC.247,1.0,0.0,-100.0,0.0,70.504
Herpes Simplex; Viral Envelope Protein; Sheep,TC.535,1.0,0.01,,3.12,46.763
Polynomial; Functor; Number,TC.580,1.0,0.01,-100.0,0.0,14.258
Magnetic Resonance Imaging; Chemical Exchange Saturation Transfer; Contrast Medium,TC.671,1.0,0.01,,0.0,38.98
Visual Cortex; Motion Perception; Calcium Imaging,TC.821,1.0,0.01,,0.63,38.195
Ownership; Civil Society; Local Government,TC.1152,1.0,0.01,,0.0,16.024
Welfare; Research Design; Justice,TC.1294,1.0,0.01,,0.61,14.061
Plant Defense; Biological Control; Budworm,TC.1410,1.0,0.03,,0.05,9.81
Philosophy; Hermeneutic Theory; Metaphysics,TC.1420,1.0,0.02,,0.0,3.139
Molecular Dynamics; Hydrogen Bonding; Ice,TC.191,1.0,0.01,,0.0,77.502
Computed Tomography; Human Study; Magnetic Resonance Imaging,TC.223,1.0,0.0,,0.0,84.565
Deep Brain Stimulation; Robot; Tremor,TC.455,1.0,0.01,,0.0,69.457
Osteomyelitis; Prosthetics; Total Hip Arthroplasty,TC.536,1.0,0.01,,0.38,58.077
Salmo salar; Climate Change; Water Management,TC.721,1.0,0.01,,0.0,41.203
Esthetics; Philosophy; Democracy,TC.1145,1.0,0.01,,0.0,11.576
Mental Health; Immigrant; Torture,TC.1226,1.0,0.01,,0.41,50.425
Climate Change; Aves; Animal Body Temperature,TC.1316,1.0,0.02,,0.0,21.91
Sensation of Hearing; Speech Perception; Signal-to-Noise Ratio,TC.1377,1.0,0.02,,1.23,12.296
Social Media; TV; Esthetics,TC.1384,1.0,0.01,,0.65,7.979
Schistosoma; Parasite (Microbiology); Urinary System,TC.1412,1.0,0.03,-100.0,1.22,12.688
Democracy; Justice; Latin,TC.1491,1.0,0.02,,0.0,4.382
,,,,,,
"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license.",,,,,,
